Name,Rarity,Category,Subcategory,Level,Price,Bulk
Air Bladder,Common,Adventuring Gear,,0,1 sp,L 1 if inflated
Animal Bed,Common,Animals and Gear,Animal Caretaking Gear,0,1 sp,
Arrows,Common,Weapons,Base Weapons,0,1 sp (price for 10),L
Backpack,Common,Adventuring Gear,,0,1 sp,
Backpack Ballista Bolts,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),L
Backpack Catapult Stones,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),1
Basic Crafter's Book,Common,Adventuring Gear,,0,1 sp,L
Beverages (Bottle of Wine),Common,Services,,0,1 sp,L
Bird,Common,Animals and Gear,Animals,0,1 sp,
Blocks,Common,Adventuring Gear,,0,1 sp,L
Blowgun,Common,Weapons,Base Weapons,0,1 sp,L
Bolts,Common,Weapons,Base Weapons,0,1 sp (price for 10),L
Butterfly or Moth,Common,Animals and Gear,Animals,0,1 sp,
Clothing (Explorer's),Common,Adventuring Gear,,0,1 sp,L
Clothing (Ordinary),Common,Adventuring Gear,,0,1 sp,
Collar,Common,Animals and Gear,Animal Caretaking Gear,0,1 sp,
Disguise Kit (Replacement Cosmetics),Common,Adventuring Gear,,0,1 sp,L
Dogslicer,Uncommon,Weapons,Base Weapons,0,1 sp,L
Doll,Common,Adventuring Gear,,0,1 sp,L
Dyes and Ink,Common,Trade Goods,,0,1 sp (per vial),
Earplugs,Common,Adventuring Gear,,0,1 sp,
Explorer's Clothing,Common,Armor,Base Armor,0,1 sp,L
Feed (Unique),Common,Animals and Gear,Animal Caretaking Gear,0,1 sp (1 week),
Ferret,Common,Animals and Gear,Animals,0,1 sp,
Firearm Ammunition (10 rounds),Uncommon,Weapons,Base Weapons,0,1 sp,L
Firearm Ammunition (5 rounds),Uncommon,Weapons,Base Weapons,0,1 sp,L
Firearm Cleaning Kit,Uncommon,Adventuring Gear,,0,1 sp,L
Gerbil or Hamster,Common,Animals and Gear,Animals,0,1 sp,
Grappling Hook,Common,Adventuring Gear,,0,1 sp,L
Hammer,Common,Adventuring Gear,,0,1 sp,L
Hireling (Unskilled),Common,Services,Hirelings,0,1 sp (per day),
Javelin,Common,Weapons,Base Weapons,0,1 sp,L
Juggling Club,Uncommon,Weapons,Base Weapons,0,1 sp,L
Leash,Common,Animals and Gear,Animal Caretaking Gear,0,1 sp,
Lizard,Common,Animals and Gear,Animals,0,1 sp,
Lodging (Bed for 1),Common,Services,,0,1 sp (per day),
Monkey's Fist,Common,Weapons,Base Weapons,0,1 sp,
Powder,Common,Adventuring Gear,,0,1 sp,L
Praying Mantis,Common,Animals and Gear,Animals,0,1 sp,
Rat,Common,Animals and Gear,Animals,0,1 sp,
Religious Symbol (Wooden),Common,Adventuring Gear,,0,1 sp,L
Sap,Common,Weapons,Base Weapons,0,1 sp,L
Scourge,Common,Weapons,Base Weapons,0,1 sp,1
Shield Sconce,Uncommon,Adventuring Gear,,0,1 sp,
Silencer,Common,Adventuring Gear,,0,1 sp,L
Spear,Common,Weapons,Base Weapons,0,1 sp,1
Sun Shot,Uncommon,Weapons,Base Weapons,0,1 sp (for 10),L
Tonfa,Uncommon,Weapons,Base Weapons,0,1 sp,L
Treats (Unique),Common,Animals and Gear,Animal Caretaking Gear,0,1 sp,
Whip,Common,Weapons,Base Weapons,0,1 sp,1
Wooden Taws,Common,Weapons,Base Weapons,0,1 sp (price for 10),L
Writing Set (Extra Ink and Paper),Common,Adventuring Gear,,0,1 sp,L
Brick,Common,Trade Goods,,0,1 sp 7 cp (per 1000 bricks),
Ale,Common,Trade Goods,,0,2 sp (per keg),
Bayonet,Common,Weapons,Base Weapons,0,2 sp,L
Beverages (Keg of Ale),Common,Services,,0,2 sp,2
Bo Staff,Common,Weapons,Base Weapons,0,2 sp,2
Dagger,Common,Weapons,Base Weapons,0,2 sp,L
Dog,Common,Animals and Gear,Animals,0,2 sp,
Frog,Common,Animals and Gear,Animals,0,2 sp,
Gauntlet,Common,Weapons,Base Weapons,0,2 sp,L
Grappling Arrow,Uncommon,Adventuring Gear,,0,2 sp,L
Grappling Bolt,Uncommon,Adventuring Gear,,0,2 sp,L
Lock (Poor),Common,Adventuring Gear,,0,2 sp,
Marbles,Common,Adventuring Gear,,0,2 sp,L
Merchant's Scale,Common,Adventuring Gear,,0,2 sp,L
Nunchaku,Uncommon,Weapons,Base Weapons,0,2 sp,L
Padded Armor,Common,Armor,Base Armor,0,2 sp,L
Poi,Uncommon,Weapons,Base Weapons,0,2 sp,L
Practice Targets,Common,Adventuring Gear,,0,2 sp (price for 10),L
Puzzle Box (Simple),Common,Adventuring Gear,,0,2 sp,L
Reinforced Stock,Common,Weapons,Base Weapons,0,2 sp,L
Saddlebags,Common,Adventuring Gear,,0,2 sp,
Sickle,Common,Weapons,Base Weapons,0,2 sp,L
Spider,Common,Animals and Gear,Animals,0,2 sp,
Tekko-kagi,Uncommon,Weapons,Base Weapons,0,2 sp,L
Thundermace,Uncommon,Weapons,Base Weapons,0,2 sp,2
Transportation (Carriage),Common,Services,Transportation,0,2 sp (per 5 miles),
Tripod,Common,Adventuring Gear,,0,2 sp,1
Waterproof Carrying Case,Common,Adventuring Gear,,0,2 sp,L
Caltrops,Common,Adventuring Gear,,0,3 sp,L
Forked Bipod,Common,Weapons,Base Weapons,0,3 sp,L
Katar,Uncommon,Weapons,Base Weapons,0,3 sp,L
Knuckle Duster,Common,Weapons,Base Weapons,0,3 sp,L
Light Hammer,Common,Weapons,Base Weapons,0,3 sp,L
Manacles (Poor),Common,Adventuring Gear,,0,3 sp,
Spiked Gauntlet,Common,Weapons,Base Weapons,0,3 sp,L
Thieves' Tools (Replacement Picks),Common,Adventuring Gear,,0,3 sp,L
Throwing Knife,Common,Weapons,Base Weapons,0,3 sp,L
Turtle,Common,Animals and Gear,Animals,0,3 sp,
War Razor,Common,Weapons,Base Weapons,0,3 sp,L
Cloth (wool cloth 1 Bulk),Common,Trade Goods,,0,4 sp,
Clothing (Winter),Common,Adventuring Gear,,0,4 sp,L
Hatchet,Common,Weapons,Base Weapons,0,4 sp,L
Light Mace,Common,Weapons,Base Weapons,0,4 sp,L
Light Pick,Common,Weapons,Base Weapons,0,4 sp,L
Piranha Kiss,Uncommon,Weapons,Base Weapons,0,4 sp,L
Qat,Common,Alchemical Items,Drugs,0,4 sp,L
Rations,Common,Adventuring Gear,,0,4 sp (1 week),L
Rungu,Common,Weapons,Base Weapons,0,4 sp,L
Tool (Short),Common,Adventuring Gear,,0,4 sp,L
Basic Cane,Common,Assistive Items,Mobility Devices,0,5 sp,L
Basic Chair,Common,Assistive Items,Mobility Devices,0,5 sp,2
Basic Corrective Lenses,Common,Assistive Items,,0,5 sp,
Basic Crutch,Common,Assistive Items,Mobility Devices,0,5 sp,L
Basic Hearing Aid,Common,Assistive Items,,0,5 sp,
Basic Prosthesis,Common,Assistive Items,,0,5 sp,
Bloodeye Coffee,Common,Alchemical Items,Drugs,0,5 sp,L
Bola,Uncommon,Weapons,Base Weapons,0,5 sp,L
Cage,Common,Animals and Gear,Animal Caretaking Gear,0,5 sp,
Chakram,Common,Weapons,Base Weapons,0,5 sp,L
Climbing Kit,Common,Adventuring Gear,,0,5 sp,1
Crowbar,Common,Adventuring Gear,,0,5 sp,L
Duck,Common,Animals and Gear,Animals,0,5 sp,
Dueling Cape,Common,Adventuring Gear,,0,5 sp,L
False-Bottomed Mug,Uncommon,Adventuring Gear,,0,5 sp,L
Fighting Stick,Uncommon,Weapons,Base Weapons,0,5 sp,1
Fixer (Basic Informant),Common,Services,Fixer,0,5 sp (per hour),
Games,Common,Adventuring Gear,,0,5 sp (-5 gp see text),L
Hand Adze,Common,Weapons,Base Weapons,0,5 sp,L
Handling Gloves,Common,Animals and Gear,Animal Caretaking Gear,0,5 sp,
Hireling (Skilled),Common,Services,Hirelings,0,5 sp (per day),
Longspear,Common,Weapons,Base Weapons,0,5 sp,2
Main-gauche,Common,Weapons,Base Weapons,0,5 sp,L
Material Component Pouch,Common,Adventuring Gear,,0,5 sp,L
Parrying Scabbard,Common,Adventuring Gear,,0,5 sp,L
Pig,Common,Animals and Gear,Animals,0,5 sp,
Playing Cards,Common,Adventuring Gear,,0,5 sp,
Probing Cane,Common,Weapons,Base Weapons,0,5 sp,L
Probing Cane,Common,Assistive Items,Mobility Devices,0,5 sp,L
Reinforced Frame,Common,Weapons,Base Weapons,0,5 sp,
Reinforced Wheels,Common,Assistive Items,Mobility Devices,0,5 sp,
Rope,Common,Adventuring Gear,,0,5 sp (50 ft.),L
Ruler,Common,Adventuring Gear,,0,5 sp,
Scorpion Whip,Uncommon,Weapons,Base Weapons,0,5 sp,L
Shears,Uncommon,Weapons,Base Weapons,0,5 sp,L
Shield Boss,Common,Weapons,Base Weapons,0,5 sp,
Shield Spikes,Common,Weapons,Base Weapons,0,5 sp,
Splint,Common,Assistive Items,,0,5 sp,
Support,Common,Assistive Items,,0,5 sp,
Tear-Away Clothing,Common,Adventuring Gear,,0,5 sp,
The Old Mage Deck,Common,Adventuring Gear,,0,5 sp,
Toy Carriage,Common,Adventuring Gear,,0,5 sp,
Waffle Iron,Common,Adventuring Gear,,0,5 sp,1
Wheel Blades,Common,Weapons,Base Weapons,0,5 sp,
Wheel Blades,Common,Assistive Items,Mobility Devices,0,5 sp,
Wheel Spikes,Common,Weapons,Base Weapons,0,5 sp,
Wheel Spikes,Common,Assistive Items,Mobility Devices,0,5 sp,
Wheelbarrow,Common,Adventuring Gear,,0,5 sp,5
Chest,Common,Adventuring Gear,,0,6 sp,2
Cloth (Linen),Common,Trade Goods,,0,6 sp,
Kukri,Uncommon,Weapons,Base Weapons,0,6 sp,L
Magazine (Air Repeater),Uncommon,Weapons,Base Weapons,0,6 sp,
Mambele,Uncommon,Weapons,Base Weapons,0,6 sp,1
Sai,Uncommon,Weapons,Base Weapons,0,6 sp,L
Thorn Whip,Uncommon,Weapons,Base Weapons,0,6 sp,1
Wheat,Common,Trade Goods,,0,6 sp (per bushel),
Kris,Common,Weapons,Base Weapons,0,7 sp,L
Lantern (Hooded),Common,Adventuring Gear,,0,7 sp,L
Machete,Common,Weapons,Base Weapons,0,7 sp,L
Orc Knuckle Dagger,Uncommon,Weapons,Base Weapons,0,7 sp,L
Pick,Common,Weapons,Base Weapons,0,7 sp,1
Squirrel,Common,Animals and Gear,Animals,0,7 sp,
Cloth (Cotton),Common,Trade Goods,,0,8 sp,
Dandpatta,Uncommon,Weapons,Base Weapons,0,8 sp,L
Fishing Tackle,Common,Adventuring Gear,,0,8 sp,1
Flail,Common,Weapons,Base Weapons,0,8 sp,1
Fox,Common,Animals and Gear,Animals,0,8 sp,
Harness,Common,Animals and Gear,Animal Caretaking Gear,0,8 sp,
Lodging (Private Room for 2),Common,Services,,0,8 sp (per day),
Magazine (Long Air Repeater),Uncommon,Weapons,Base Weapons,0,8 sp,
Musical Instrument (Handheld),Common,Adventuring Gear,,0,8 sp,1
Shield Augmentation,Uncommon,Adjustments,,0,8 sp,
Tent (Pup),Common,Adventuring Gear,,0,8 sp,L
Tri-Bladed Katar,Uncommon,Weapons,Base Weapons,0,8 sp,L
Horsechopper,Uncommon,Weapons,Base Weapons,0,9 sp,2
Nine-Ring Sword,Uncommon,Weapons,Base Weapons,0,9 sp,1
Repeating Crossbow Magazine,Uncommon,Weapons,Base Weapons,0,9 sp (price for 5 bolts),L
Repeating Hand Crossbow Magazine,Uncommon,Weapons,Base Weapons,0,9 sp (price for 5 bolts),L
Repeating Heavy Crossbow Magazine,Uncommon,Weapons,Base Weapons,0,9 sp (price for 5 bolts),L
Shortsword,Common,Weapons,Base Weapons,0,9 sp,L
Adze,Common,Weapons,Base Weapons,0,1 gp,2
Battle Axe,Common,Weapons,Base Weapons,0,1 gp,1
Beehive,Common,Animals and Gear,Animals,0,1 gp,
Beverages (Bottle of Fine Wine),Common,Services,,0,1 gp,L
Boarding Axe,Uncommon,Weapons,Base Weapons,0,1 gp,L
Brass Ear,Common,Adventuring Gear,,0,1 gp,
Buckler,Common,Shields,Base Shields,0,1 gp,L
Chair Storage,Common,Assistive Items,Mobility Devices,0,1 gp,
Compass,Common,Adventuring Gear,,0,1 gp,
Cookware,Common,Adventuring Gear,,0,1 gp,2
Dart Umbrella,Uncommon,Weapons,Base Weapons,0,1 gp,1
Depth Gauge,Uncommon,Adventuring Gear,,0,1 gp,L
Fake Blood Pack,Common,Adventuring Gear,,0,1 gp,L
Filcher's Fork,Uncommon,Weapons,Base Weapons,0,1 gp,L
Fixer (Basic Councelor),Common,Services,Fixer,0,1 gp (per hour),
Fixer (Expert Informant),Common,Services,Fixer,0,1 gp (per hour),
Flayleaf,Common,Alchemical Items,Drugs,0,1 gp,L
Formula Book (Blank),Common,Adventuring Gear,,0,1 gp,L
Gada,Common,Weapons,Base Weapons,0,1 gp,1
Gaff,Common,Weapons,Base Weapons,0,1 gp,1
Glaive,Common,Weapons,Base Weapons,0,1 gp,2
Greatclub,Common,Weapons,Base Weapons,0,1 gp,2
Greatpick,Common,Weapons,Base Weapons,0,1 gp,2
Griffon  Cane,Common,Assistive Items,Mobility Devices,0,1 gp,L
Griffon Cane,Common,Weapons,Base Weapons,0,1 gp,L
Harrow Carrying Case,Common,Adventuring Gear,,0,1 gp,1
Harrow Deck (Simple),Common,Adventuring Gear,,0,1 gp,L
Iron (Ingot),Common,Trade Goods,,0,1 gp,
Kama,Uncommon,Weapons,Base Weapons,0,1 gp,L
Lance,Common,Weapons,Base Weapons,0,1 gp,2
Lantern (Bull's-Eye),Common,Adventuring Gear,,0,1 gp,1
Lion Scythe,Uncommon,Weapons,Base Weapons,0,1 gp,L
Lizard (X's),Common,Animals and Gear,Animals,0,1 gp,
Longsword,Common,Weapons,Base Weapons,0,1 gp,1
Mace,Common,Weapons,Base Weapons,0,1 gp,1
Marked Playing Cards,Common,Adventuring Gear,,0,1 gp,
Meal (Fine Dining),Common,Services,,0,1 gp,L
Mirror,Common,Adventuring Gear,,0,1 gp,
Morningstar,Common,Weapons,Base Weapons,0,1 gp,1
Net,Common,Adventuring Gear,,0,1 gp,1
Nightstick,Uncommon,Weapons,Base Weapons,0,1 gp,L
Ogre Hook,Uncommon,Weapons,Base Weapons,0,1 gp,2
Paint Set,Common,Adventuring Gear,,0,1 gp,L
Panabas,Common,Weapons,Base Weapons,0,1 gp,1
Rabbit,Common,Animals and Gear,Animals,0,1 gp,
Religious Text,Common,Adventuring Gear,,0,1 gp,L
Rubbing Set,Uncommon,Adventuring Gear,,0,1 gp,1
Scimitar,Common,Weapons,Base Weapons,0,1 gp,1
Shootist Bandolier,Uncommon,Adventuring Gear,,0,1 gp,
Snake,Common,Animals and Gear,Animals,0,1 gp,
Spellbook (Blank),Common,Adventuring Gear,,0,1 gp,L
Tank (Stationary),Common,Animals and Gear,Animal Caretaking Gear,0,1 gp,
Tool (Long),Common,Adventuring Gear,,0,1 gp,1
Trident,Common,Weapons,Base Weapons,0,1 gp,1
Wakizashi,Uncommon,Weapons,Base Weapons,0,1 gp,L
Warhammer,Common,Weapons,Base Weapons,0,1 gp,1
Wax Key Blank,Uncommon,Adventuring Gear,,0,1 gp,
Wine (Fine),Common,Trade Goods,,0,1 gp (per bottle),
Wooden Shield,Common,Shields,Base Shields,0,1 gp,1
Wool (1 Bulk),Common,Trade Goods,,0,1 gp,
Writing Set,Common,Adventuring Gear,,0,1 gp,L
Fighting Fan,Uncommon,Weapons,Base Weapons,0,1 gp 1 sp,L
Fauchard,Common,Weapons,Base Weapons,0,1 gp 4 sp,2
Adventurer's Pack,Common,Adventuring Gear,,0,1 gp 5 sp,1
Badger,Common,Animals and Gear,Animals,0,1 gp 5 sp,
Traitor's Ring,Uncommon,Adventuring Gear,,0,1 gp 5 sp,
Armored Skirt,Common,Adventuring Gear,,0,2 gp,1
Bladed Diabolo,Uncommon,Weapons,Base Weapons,0,2 gp,L
Broadspear,Common,Weapons,Base Weapons,0,2 gp,2
Butterfly Sword,Uncommon,Weapons,Base Weapons,0,2 gp,L
Clan Dagger,Uncommon,Weapons,Base Weapons,0,2 gp,L
Claw Blade,Uncommon,Weapons,Base Weapons,0,2 gp,L
Clothing (Fine),Common,Adventuring Gear,,0,2 gp,L
Cotton (1 Bulk),Common,Trade Goods,,0,2 gp,
Disguise Kit,Common,Adventuring Gear,,0,2 gp,L
Dueling Spear,Uncommon,Weapons,Base Weapons,0,2 gp,2
Extendible Pincer,Uncommon,Adventuring Gear,,0,2 gp,L
Fixer (Expert Councelor),Common,Services,Fixer,0,2 gp (per hour),
Gill Hook,Uncommon,Weapons,Base Weapons,0,2 gp,2
Gnome Hooked Hammer,Uncommon,Weapons,Base Weapons,0,2 gp,1
Greataxe,Common,Weapons,Base Weapons,0,2 gp,2
Greatsword,Common,Weapons,Base Weapons,0,2 gp,2
Guisarme,Common,Weapons,Base Weapons,0,2 gp,2
Halberd,Common,Weapons,Base Weapons,0,2 gp,2
Hide Armor,Common,Armor,Base Armor,0,2 gp,2
Horse,Common,Animals and Gear,Animals,0,2 gp,
Jellyfish Lamp,Common,Adventuring Gear,,0,2 gp,L
Karambit,Uncommon,Weapons,Base Weapons,0,2 gp,L
Katana,Uncommon,Weapons,Base Weapons,0,2 gp,1
Khakkara,Uncommon,Weapons,Base Weapons,0,2 gp,1
Khopesh,Uncommon,Weapons,Base Weapons,0,2 gp,1
Kusarigama,Uncommon,Weapons,Base Weapons,0,2 gp,1
Leather Armor,Common,Armor,Base Armor,0,2 gp,1
Leiomano,Uncommon,Weapons,Base Weapons,0,2 gp,1
Mask (Fine),Common,Adventuring Gear,,0,2 gp,
Musical Instrument (Heavy),Common,Adventuring Gear,,0,2 gp,16
Opossum domestic,Common,Animals and Gear,Animals,0,2 gp,
Orc Necksplitter,Uncommon,Weapons,Base Weapons,0,2 gp,1
Pantograph Gauntlet,Uncommon,Weapons,Base Weapons,0,2 gp,L
Plated Duster,Uncommon,Adventuring Gear,,0,2 gp,1
Ranseur,Common,Weapons,Base Weapons,0,2 gp,2
Rapier,Common,Weapons,Base Weapons,0,2 gp,1
Reinforced Surcoat,Uncommon,Adjustments,,0,2 gp,L
Religious Symbol (Silver),Common,Adventuring Gear,,0,2 gp,L
Repair Kit,Common,Adventuring Gear,,0,2 gp,1
Scythe,Common,Weapons,Base Weapons,0,2 gp,2
Shauth Blade,Uncommon,Weapons,Base Weapons,0,2 gp,L
Starknife,Common,Weapons,Base Weapons,0,2 gp,L
Steel Shield,Common,Shields,Base Shields,0,2 gp,1
Talwar,Common,Weapons,Base Weapons,0,2 gp,1
Temple Sword,Uncommon,Weapons,Base Weapons,0,2 gp,1
Urumi,Uncommon,Weapons,Base Weapons,0,2 gp,2
Visap,Uncommon,Weapons,Base Weapons,0,2 gp,L
War Flail,Common,Weapons,Base Weapons,0,2 gp,2
Wind and Fire Wheel,Uncommon,Weapons,Base Weapons,0,2 gp,L
Wish Knife,Uncommon,Weapons,Base Weapons,0,2 gp,L
Bladed Hoop,Uncommon,Weapons,Base Weapons,0,2 gp 5 sp,1
Alchemist's Tools,Common,Adventuring Gear,,0,3 gp,1
Bat,Common,Animals and Gear,Animals,0,3 gp,
Bladed Scarf,Uncommon,Weapons,Base Weapons,0,3 gp,1
Cart,Common,Vehicles,,0,3 gp,
Comealong,Uncommon,Adventuring Gear,,0,3 gp,1
Crossbow,Common,Weapons,Base Weapons,0,3 gp,1
Dwarven War Axe,Uncommon,Weapons,Base Weapons,0,3 gp,2
Elven Branched Spear,Uncommon,Weapons,Base Weapons,0,3 gp,1
Falchion,Common,Weapons,Base Weapons,0,3 gp,2
Folding Ladder,Common,Adventuring Gear,,0,3 gp,1 3 unfolded
Gnome Flickmace,Uncommon,Weapons,Base Weapons,0,3 gp,1
Grappling Gun,Uncommon,Adventuring Gear,,0,3 gp,1
Hand Crossbow,Common,Weapons,Base Weapons,0,3 gp,L
Hollowed Hilt,Uncommon,Adventuring Gear,,0,3 gp,
Hook Sword,Uncommon,Weapons,Base Weapons,0,3 gp,1
Hourglass,Common,Adventuring Gear,,0,3 gp,L
Injection Spear,Uncommon,Weapons,Base Weapons,0,3 gp,1
Kalis,Uncommon,Weapons,Base Weapons,0,3 gp,1
Maul,Common,Weapons,Base Weapons,0,3 gp,2
Meteor Hammer,Common,Weapons,Base Weapons,0,3 gp,2
Monkey,Common,Animals and Gear,Animals,0,3 gp,
Naginata,Uncommon,Weapons,Base Weapons,0,3 gp,2
Shortbow,Common,Weapons,Base Weapons,0,3 gp,1
Spellcasting (1st level),Uncommon,Services,Spellcasting,0,3 gp (plus any cost required to cast the specific spell),
Spiked Chain,Uncommon,Weapons,Base Weapons,0,3 gp,1
Studded Leather Armor,Common,Armor,Base Armor,0,3 gp,1
Sun Sling,Uncommon,Weapons,Base Weapons,0,3 gp,L
Thieves' Tools,Common,Adventuring Gear,,0,3 gp,L
Infused Stone,Common,Trade Goods,,0,3 gp 5 sp (+ per pound),
Artisan's Tools,Common,Adventuring Gear,,0,4 gp,2
Bastard Sword,Common,Weapons,Base Weapons,0,4 gp,1
Buugeng,Uncommon,Weapons,Base Weapons,0,4 gp,1
Chain,Common,Adventuring Gear,,0,4 gp ((10 ft.)),1
Donchak,Uncommon,Weapons,Base Weapons,0,4 gp,2
Elven Curve Blade,Uncommon,Weapons,Base Weapons,0,4 gp,2
Fangwire,Uncommon,Weapons,Base Weapons,0,4 gp,L
Heavy Crossbow,Common,Weapons,Base Weapons,0,4 gp,2
Researcher (Level 1; trained),Common,Services,Researcher,0,4 gp (per day),
Rhoka Sword,Uncommon,Weapons,Base Weapons,0,4 gp,2
Scale Mail,Common,Armor,Base Armor,0,4 gp,2
Tack,Common,Adventuring Gear,,0,4 gp,1
Tengu Gale Blade,Uncommon,Weapons,Base Weapons,0,4 gp,L
Umbrella Injector,Uncommon,Weapons,Base Weapons,0,4 gp,1
War Lance,Uncommon,Weapons,Base Weapons,0,4 gp,2
Zulfikar,Uncommon,Weapons,Base Weapons,0,4 gp,1
Air repeater,Uncommon,Weapons,Base Weapons,0,5 gp,L
Aklys,Uncommon,Weapons,Base Weapons,0,5 gp,1
Alchemist's Lab,Common,Adventuring Gear,,0,5 gp,6
Bladed Gauntlet,Uncommon,Weapons,Base Weapons,0,5 gp,L
Buoyancy Vest,Common,Adventuring Gear,,0,5 gp,1
Chain Shirt,Common,Armor,Base Armor,0,5 gp,1
Clan Pistol,Uncommon,Weapons,Base Weapons,0,5 gp,L
Familiar Satchel,Uncommon,Adventuring Gear,,0,5 gp,1
Fire Lance,Uncommon,Weapons,Base Weapons,0,5 gp,2
Fire Poi,Uncommon,Weapons,Base Weapons,0,5 gp,L
Glass Cutter,Uncommon,Adventuring Gear,,0,5 gp,L
Halfling Sling Staff,Uncommon,Weapons,Base Weapons,0,5 gp,1
Hand Cannon,Uncommon,Weapons,Base Weapons,0,5 gp,1
Healer's Tools,Common,Adventuring Gear,,0,5 gp,1
Kayalini,Common,Animals and Gear,Animals,0,5 gp,
Knight's Standard,Uncommon,Adventuring Gear,,0,5 gp,1
Membership Cords,Uncommon,Adventuring Gear,,0,5 gp,L
Raccoon,Common,Animals and Gear,Animals,0,5 gp,
Sawtooth Saber,Uncommon,Weapons,Base Weapons,0,5 gp,L
Sickle-Saber,Uncommon,Weapons,Base Weapons,0,5 gp,1
Snare Kit,Common,Adventuring Gear,,0,5 gp,2
Spiral Rapier,Uncommon,Weapons,Base Weapons,0,5 gp,1
Swim Fins,Common,Adventuring Gear,,0,5 gp,L
Sword Cane,Common,Weapons,Base Weapons,0,5 gp,1
Tamchal Chakram,Uncommon,Weapons,Base Weapons,0,5 gp,L
Tent (Four-Person),Common,Adventuring Gear,,0,5 gp,1
Thunder Sling,Uncommon,Weapons,Base Weapons,0,5 gp,L
Water Purifier,Uncommon,Adventuring Gear,,0,5 gp,L
Whip Claw,Uncommon,Weapons,Base Weapons,0,5 gp,1
Wish Blade,Uncommon,Weapons,Base Weapons,0,5 gp,1
Chain Mail,Common,Armor,Base Armor,0,6 gp,2
Coat Pistol,Uncommon,Weapons,Base Weapons,0,6 gp,L
Flingflenser,Uncommon,Weapons,Base Weapons,0,6 gp,1
Flintlock Pistol,Uncommon,Weapons,Base Weapons,0,6 gp,1
Longbow,Common,Weapons,Base Weapons,0,6 gp,2
Researcher (Level 2),Common,Services,Researcher,0,6 gp (per day),
Double-Barreled Pistol,Uncommon,Weapons,Base Weapons,0,7 gp,1
Flintlock Musket,Uncommon,Weapons,Base Weapons,0,7 gp,1
Spellcasting (2nd level),Uncommon,Services,Spellcasting,0,7 gp (plus any cost required to cast the specific spell),
Black Powder Knuckle Dusters,Uncommon,Weapons,Base Weapons,0,8 gp,L
Blunderbuss,Uncommon,Weapons,Base Weapons,0,8 gp,2
Breastplate,Common,Armor,Base Armor,0,8 gp,2
Butchering Axe,Uncommon,Weapons,Base Weapons,0,8 gp,2
